,ano_eleicao,nome,nome_urna,numero_sequencial,numero_urna,sigla_uf_nascimento,sigla_partido,numero_partido,tipo_agremiacao,descricao_cargo,despesa_maxima_campanha,idade_data_posse,descricao_cor_raca,descricao_estado_civil,descricao_genero,descricao_grau_instrucao,descricao_nacionalidade,descricao_ocupacao,concorre_reeleicao,declara_bens,descricao_totalizacao_turno
16637,2018,WALNEY DA ROCHA CARVALHO,WALNEY ROCHA,190000628112,5151.0,RJ,PATRI,51,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,59.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,DEPUTADO,S,S,NAO ELEITO
16642,2018,NAIDE RIBEIRO JUNIOR,NAIDE RIBEIRO,190000602112,5056.0,RJ,PSOL,50,COLIGACAO,DEPUTADO FEDERAL,0.0,57.0,PRETA,VIUVO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO ESTADUAL,N,N,SUPLENTE
16643,2018,FELIPE MACEDO BRASILEIRO,FELIPE BRASILEIRO,190000626286,2870.0,RJ,PRTB,28,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,40.0,PARDA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,NAO ELEITO
16645,2018,MAURILIO MANOEL GONCALVES,MAURILIO TELEMARKETING,190000625164,4334.0,RJ,PV,43,COLIGACAO,DEPUTADO FEDERAL,0.0,50.0,PRETA,VIUVO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16651,2018,JOSE MAGALHAES MUNIZ FILHO,JOSE MUNIZ,190000604145,1950.0,RJ,PODE,19,COLIGACAO,DEPUTADO FEDERAL,0.0,51.0,BRANCA,SEPARADO(A) JUDICIALMENTE,MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,ODONTOLOGO,N,S,SUPLENTE
16654,2018,SORAYA FONTES FEITOZA DA SILVA,SORAYA FONTES,190000606089,3102.0,RJ,PHS,31,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,55.0,PARDA,VIUVO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,N,N,SUPLENTE
16656,2018,GILSON FERREIRA DA CUNHA,GILSON CUNHA,190000624675,4404.0,RJ,PRP,44,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,53.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,N,N,SUPLENTE
16658,2018,ANDERSON DE OLIVEIRA MATEUS,CAPITAO MATEUS,190000614641,1766.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,33.0,PARDA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA (NATURALIZADA),POLICIAL MILITAR,N,N,SUPLENTE
16660,2018,JIMMY SANDRO PEREIRA DE SOUZA,JIMMY PEREIRA,190000626267,2833.0,RJ,PRTB,28,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,48.0,BRANCA,DIVORCIADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,BIOLOGO,N,N,NAO ELEITO
16663,2018,ALEXANDRE MAURO PRADO,ALEXANDRE PRADO,190000614619,1776.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,40.0,PARDA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA (NATURALIZADA),FISCAL,N,S,SUPLENTE
16671,2018,WANDERLEY ALVES DE OLIVEIRA,DELEY,190000607461,1456.0,RJ,PTB,14,COLIGACAO,DEPUTADO FEDERAL,0.0,59.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,DEPUTADO,S,S,SUPLENTE
16673,2018,MARCOS DA SILVA MOFACTO,MARCOS DA FARMACIA,190000606066,3181.0,RJ,PHS,31,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,64.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,N,N,SUPLENTE
16675,2018,AUGUSTO MOREIRA JARDIM,MOREIRA JARD,190000626366,1030.0,RJ,PRB,10,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,58.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16676,2018,ENOCK AMARAL OLIVEIRA,ENOCK AMARAL,190000606042,3119.0,RJ,PHS,31,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,43.0,BRANCA,SOLTEIRO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,"TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO",N,S,SUPLENTE
16677,2018,SERGIO NASCIMENTO DE BRITO,SERGIO BRITO,190000607839,2016.0,RJ,PSC,20,COLIGACAO,DEPUTADO FEDERAL,0.0,45.0,BRANCA,SOLTEIRO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,REPRESENTANTE COMERCIAL,N,N,NAO ELEITO
16688,2018,ALEX DE SOUSA OLIVEIRA,ALEX BRISOLA,190000607881,2074.0,RJ,PSC,20,COLIGACAO,DEPUTADO FEDERAL,0.0,43.0,PRETA,SOLTEIRO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,MOTORISTA PARTICULAR,N,N,SUPLENTE
16692,2018,TOMAS EDSON ALVES DA SILVA,EDSON BAIGA,190000616229,7008.0,BA,AVANTE,70,COLIGACAO,DEPUTADO FEDERAL,0.0,50.0,PRETA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,ADMINISTRADOR,N,S,SUPLENTE
16697,2018,RODRIGO DE BOROBIA PIRES GONCALVES,RODRIGO BOROBIA E BOROBIA,190000602245,3040.0,RJ,NOVO,30,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,51.0,BRANCA,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO FEDERAL,N,S,SUPLENTE
16699,2018,ROSIEL CANDIDO DE LIMA,ROSIEL LIMA,190000601158,5561.0,PB,PSD,55,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,45.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,S,SUPLENTE
16700,2018,FRANCELINO DA SILVA PAES,FRANCELINO PAES,190000607845,2065.0,RJ,PSC,20,COLIGACAO,DEPUTADO FEDERAL,0.0,48.0,PRETA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADMINISTRADOR,N,S,SUPLENTE
16701,2018,SERGIO LUIS DE CARVALHO OLIVEIRA,SERGIO CARVALHO,190000606090,3156.0,RJ,PHS,31,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,46.0,INDIGENA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,OUTROS,N,S,SUPLENTE
16715,2018,CARLOS ROBERTO MOREIRA,BETO MOREIRA,190000607919,5565.0,RJ,PSD,55,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,44.0,PARDA,CASADO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,EMPRESARIO,N,N,SUPLENTE
16720,2018,ALINE LOPES DA SILVA,ALINE LOPES,190000614667,1738.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,38.0,PARDA,CASADO(A),FEMININO,ENSINO MEDIO COMPLETO,BRASILEIRA (NATURALIZADA),EMPRESARIO,N,S,SUPLENTE
16723,2018,DIEGO LUIZ LIMA MIRANDA,DIEGO MIRANDA,190000629791,3370.0,RJ,PMN,33,COLIGACAO,DEPUTADO FEDERAL,0.0,34.0,PARDA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16724,2018,ENIR LEAL MACHADO BRUM,ENIR LEAL,190000628116,5103.0,RJ,PATRI,51,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,59.0,BRANCA,CASADO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO MUNICIPAL,N,S,NAO ELEITO
16733,2018,ACINOVIC ALVES FERREIRA,FERREIRA,190000626373,1066.0,RJ,PRB,10,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,47.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16735,2018,MARCUS ANTUNES DA SILVEIRA,MARQUINHO NOBREGA,190000626271,2817.0,RJ,PRTB,28,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,46.0,PARDA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,OUTROS,N,N,NAO ELEITO
16736,2018,RAFAEL GUAN DE MENEZES,RAFAEL GEMEOS,190000607933,5591.0,RJ,PSD,55,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,27.0,PARDA,SOLTEIRO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,NAO ELEITO
16741,2018,JACINTA DE LOURDES SILVA FARIAS,JACINTA,190000625188,2780.0,PB,DC,27,COLIGACAO,DEPUTADO FEDERAL,0.0,53.0,BRANCA,SOLTEIRO(A),FEMININO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16742,2018,SOLANGE DOS SANTOS ARAUJO,SOLANGE ARAUJO,190000614938,3550.0,RJ,PMB,35,COLIGACAO,DEPUTADO FEDERAL,0.0,55.0,PRETA,SOLTEIRO(A),FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,BRASILEIRA NATA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",N,N,NAO ELEITO
16743,2018,ALFREDO PAULO MARQUES RODRIGUES,ALFREDAO,190000601129,5551.0,RJ,PSD,55,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,61.0,PARDA,VIUVO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,OUTROS,N,S,SUPLENTE
16745,2018,FABIANA FERREIRA ROCHA,FABIANA ROCHA,190000615515,1279.0,RJ,PDT,12,COLIGACAO,DEPUTADO FEDERAL,0.0,39.0,BRANCA,SOLTEIRO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,PEDAGOGO,N,N,SUPLENTE
16748,2018,DIVA GOMES DA SILVA,DIVA GOMES,190000626247,2827.0,RJ,PRTB,28,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,65.0,BRANCA,DIVORCIADO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,SOCIOLOGO,N,N,NAO ELEITO
16750,2018,MARCOS ROGERIO LIMA MOREIRA,PASTOR MARCOS ROGERIO,190000629940,5133.0,CE,PATRI,51,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,56.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,N,N,NAO ELEITO
16751,2018,OTAVIO SANTOS SILVA LEITE,OTAVIO LEITE,190000603424,4555.0,SE,PSDB,45,COLIGACAO,DEPUTADO FEDERAL,0.0,57.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,DEPUTADO,S,S,SUPLENTE
16752,2018,SERGIO LUIZ MAXIMO RAMOS,SERGIO MARROM,190000622777,5484.0,RJ,PPL,54,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,59.0,PARDA,SOLTEIRO(A),MASCULINO,ENSINO MEDIO INCOMPLETO,BRASILEIRA NATA,"CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES",N,N,NAO ELEITO
16755,2018,JOSE GONCALVES VELOSO,DR. VELOSO,190000601142,5513.0,RJ,PSD,55,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,71.0,BRANCA,DIVORCIADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEDICO,N,N,SUPLENTE
16756,2018,EDSON REIS DE ALMEIDA,MESTRE EDSON REIS,190000614923,3504.0,RJ,PMB,35,COLIGACAO,DEPUTADO FEDERAL,0.0,61.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ENGENHEIRO,N,S,NAO ELEITO
16767,2018,ANGELICA MONTEIRO GUIMARAES,TIA ANGELICA,190000629947,5199.0,RJ,PATRI,51,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,67.0,BRANCA,VIUVO(A),FEMININO,ENSINO MEDIO INCOMPLETO,BRASILEIRA NATA,OUTROS,N,N,NAO ELEITO
16768,2018,CASSIA MARTINS PACHECO,CASSIA MARTINS,190000615557,4077.0,RJ,PSB,40,COLIGACAO,DEPUTADO FEDERAL,0.0,43.0,BRANCA,CASADO(A),FEMININO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA,N,N,SUPLENTE
16769,2018,MARCOS AURELIO ARAUJO DO NASCIMENTO,MARCOS ARAUJO - KIKO,190000625200,2717.0,RJ,DC,27,COLIGACAO,DEPUTADO FEDERAL,0.0,48.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,EMPRESARIO,N,N,SUPLENTE
16770,2018,RICARDO NASCIMENTO DA SILVA,RICARDO NASCIMENTO,190000626263,2811.0,RJ,PRTB,28,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,39.0,BRANCA,DIVORCIADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,MOTORISTA PARTICULAR,N,S,NAO ELEITO
16771,2018,MILENA RODRIGUEZ LORENZO,MILENA LORENZO,190000615670,2929.0,RJ,PCO,29,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,45.0,BRANCA,DIVORCIADO(A),FEMININO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,S,NAO ELEITO
16772,2018,CARLOS VICTOR ANDRADE FRANCO,CARLOS FRANCO,190000614648,1754.0,DF,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,27.0,PARDA,SOLTEIRO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA (NATURALIZADA),RECEPCIONISTA,N,N,SUPLENTE
16774,2018,MARTEM SARMENTO GARCIA,COMANDANTE SARMENTO,190000614717,1702.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,56.0,PARDA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEMBRO DAS FORCAS ARMADAS,N,N,SUPLENTE
16775,2018,MARILENA PINTO RODRIGUES,MARILENA DA SAUDE,190000628274,5155.0,RJ,PATRI,51,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,52.0,BRANCA,CASADO(A),FEMININO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,"TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO",N,N,NAO ELEITO
16778,2018,VAGNER COSTA FERNANDES,CORONEL COSTA FERNANDES,190000603428,4590.0,RJ,PSDB,45,COLIGACAO,DEPUTADO FEDERAL,0.0,52.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MILITAR REFORMADO,N,S,SUPLENTE
16782,2018,TIAGO PRATES DA SILVA,TIAGO PRATES,190000607844,2015.0,RJ,PSC,20,COLIGACAO,DEPUTADO FEDERAL,0.0,37.0,PARDA,SOLTEIRO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,ADMINISTRADOR,N,S,SUPLENTE
16784,2018,ALESSANDRO DE SOUZA BARBOSA,ALESSANDO SB SALVA BRASIL,190000626371,1005.0,RJ,PRB,10,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,47.0,BRANCA,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,"CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES",N,S,SUPLENTE
16787,2018,IGOR PORTO GAVAZZI,IGOR PORTO,190000626277,2855.0,RJ,PRTB,28,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,34.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,ADMINISTRADOR,N,S,NAO ELEITO
16791,2018,FERNANDA LIMA CASEMIRO,FERNANDA LIMA,190000602090,5054.0,RJ,PSOL,50,COLIGACAO,DEPUTADO FEDERAL,-1.0,34.0,PRETA,SOLTEIRO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,COMERCIANTE,N,N,
16792,2018,JOSE CARLOS FERREIRA REIS,CARLINHOS DO MERCADINHO,190000616266,7053.0,RJ,AVANTE,70,COLIGACAO,DEPUTADO FEDERAL,0.0,58.0,PARDA,CASADO(A),MASCULINO,ENSINO MEDIO INCOMPLETO,BRASILEIRA NATA,COMERCIANTE,N,N,SUPLENTE
16794,2018,MARCELLO TEIXEIRA BITTENCOURT,MARCELLO BITTENCOURT,190000614714,1721.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,48.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO FEDERAL,N,S,SUPLENTE
16797,2018,FLAVIO BARBOSA CAVALCANTI JUNIOR,FLAVIO CAVALCANTI JR,190000603434,2332.0,RJ,PPS,23,COLIGACAO,DEPUTADO FEDERAL,0.0,68.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,APOSENTADO (EXCETO SERVIDOR PUBLICO),N,N,SUPLENTE
16798,2018,MARCELO RIBEIRO FREIXO,MARCELO FREIXO,190000602109,5050.0,RJ,PSOL,50,COLIGACAO,DEPUTADO FEDERAL,0.0,51.0,BRANCA,DIVORCIADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,DEPUTADO,N,S,ELEITO POR QP
16799,2018,MARIA INES VIGORITO BRIZOLA,MARIA INES BRIZOLA,190000614963,3633.0,RJ,PTC,36,COLIGACAO,DEPUTADO FEDERAL,0.0,22.0,BRANCA,SOLTEIRO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,"ESTUDANTE, BOLSISTA, ESTAGIARIO E ASSEMELHADOS",N,N,NAO ELEITO
16804,2018,MARCELO HENRIQUES BAPTISTA,MARCELO PIUI,190000606063,3199.0,RJ,PHS,31,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,48.0,PARDA,SOLTEIRO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16805,2018,JONAS NOGUEIRA DOS SANTOS,JONAS NOGUEIRA,190000616259,3333.0,RJ,PMN,33,COLIGACAO,DEPUTADO FEDERAL,0.0,62.0,BRANCA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",N,N,SUPLENTE
16812,2018,LUCIO DE DEUS,LUCIO DE DEUS,190000624735,4464.0,RJ,PRP,44,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,54.0,BRANCA,SOLTEIRO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16815,2018,FATIMA MARIA DOS SANTOS,FATIMA CIDADE,190000615560,4012.0,RJ,PSB,40,COLIGACAO,DEPUTADO FEDERAL,0.0,58.0,PRETA,DIVORCIADO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,TECNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),N,N,SUPLENTE
16821,2018,MOISES SARMENTO DE QUEIROZ,MOISES QUEIROZ,190000602238,3001.0,RJ,NOVO,30,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,54.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEMBRO DAS FORCAS ARMADAS,N,S,SUPLENTE
16835,2018,ANDRE LUIZ FERREIRA DE SOUZA,ANDRE CERVEJEIRO,190000607917,5508.0,RJ,PSD,55,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,32.0,PRETA,SOLTEIRO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,EMPRESARIO,N,N,SUPLENTE
16836,2018,LUIZ MENDES SUETH JUNIOR,PASTOR LUIZ SUETH,190000628277,5110.0,RJ,PATRI,51,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,51.0,PARDA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,"TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO",N,N,NAO ELEITO
16844,2018,CARLOS ROBERTO COELHO DE MATTOS JUNIOR,CARLOS JORDY,190000614646,1777.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,36.0,PARDA,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA (NATURALIZADA),VEREADOR,N,S,ELEITO POR QP
16845,2018,MARIA PERPETUA DE ALMEIDA,MARA DIVULGADORA,190000615518,1257.0,PA,PDT,12,COLIGACAO,DEPUTADO FEDERAL,0.0,62.0,PARDA,DIVORCIADO(A),FEMININO,ENSINO MEDIO INCOMPLETO,BRASILEIRA NATA,EMPRESARIO,N,N,SUPLENTE
16846,2018,IVANIA DAS GRACAS MARTINS,IVANIA MARTINS,190000607430,2555.0,MG,DEM,25,COLIGACAO,DEPUTADO FEDERAL,0.0,40.0,PARDA,CASADO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO MUNICIPAL,N,N,SUPLENTE
16850,2018,MARCIA BASTOS GUIMARAES,MARCIA GUIMARAES,190000625198,2744.0,RJ,DC,27,COLIGACAO,DEPUTADO FEDERAL,0.0,61.0,BRANCA,SOLTEIRO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,POLICIAL CIVIL,N,N,SUPLENTE
16854,2018,OTO JANES LEITE DE OLIVEIRA,OTOJANES FILHO,190000616219,7026.0,RJ,AVANTE,70,COLIGACAO,DEPUTADO FEDERAL,0.0,36.0,PARDA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO MUNICIPAL,N,S,SUPLENTE
16858,2018,ROSANE COSTA AFFONSO DURAES MOREIRA,ROSANE DURAES DA SAUDE,190000606084,3186.0,RJ,PHS,31,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,42.0,PARDA,CASADO(A),FEMININO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16859,2018,NEIDELY FARIAS FAUSTINO DA SILVA,NEIDELY FARIAS,190000625206,2733.0,RJ,DC,27,COLIGACAO,DEPUTADO FEDERAL,0.0,54.0,BRANCA,SOLTEIRO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,N,N,SUPLENTE
